config_architecture,config_online_simulation_factor,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
LSTM,0.5,0.8244309255294674,0.8261634582841818,0.8274559407961487,0.829302032139697,0.8283624861967163,0.8290590005777941,0.8299563153850322,0.8283529656938032,0.8297388585306908,0.8300283555867108,0.8274521668538207,0.8270290642362016,0.8259513130147887,0.8247346123734012,0.823638766217388,0.8199717459328231,0.818973835299729,0.815447015767131,0.8142108972350769,0.8114393431249709,0.8091286353819934,0.8068655333362975,0.806449181409387,0.8042883398258305,0.8042883398258305
LSTM,1.0,0.8251340402225685,0.8271297575371004,0.8296143329758322,0.8305647537194467,0.8303697408076604,0.8312596404675021,0.8309048619552203,0.8324737797382533,0.832744630119563,0.8317707307539874,0.8312299992970943,0.8305623810557112,0.8294012876538989,0.8284581597702372,0.8268176347777884,0.823923899416894,0.8229427649368893,0.8206176709571787,0.8191453414374915,0.8185280000492358,0.8173070145644025,0.8154325213231669,0.8132021875859419,0.8113674128591117,0.8113674128591117
LSTM,2.0,0.826473743723542,0.828781329674291,0.8301241207689555,0.8326833603356786,0.831886015171628,0.8331182014401703,0.8342222803288843,0.8345413075636707,0.8357026344403032,0.8351153896089951,0.8345782869841935,0.834356102095848,0.8335928707597653,0.8327525918418373,0.8320701389327099,0.8318565370174639,0.8321583423303334,0.8295278886897394,0.8292067687506156,0.8295141905141565,0.8267631081709788,0.8265852995360687,0.8243542071896388,0.8241318197346501,0.8241318197346501
LSTM,4.0,0.8273655120721691,0.8301216578945466,0.8316026447537769,0.8331231559091787,0.8337660919125469,0.8355699939487383,0.8355022030377371,0.8363763795786955,0.8362049282280651,0.8368074697185259,0.8369455069763148,0.8367169456172785,0.835963841404876,0.8350659079561653,0.8357564311896378,0.8355037690714717,0.8349793606575084,0.8357822551885346,0.835222655909665,0.8335410068867308,0.8347193123620734,0.833381578540577,0.8338199292998912,0.8333352515639769,0.8333352515639769
LSTM,10.0,0.8288899159602531,0.8305416891057052,0.8325314481652222,0.832070345031847,0.8312728470463108,0.8316185636071954,0.8305924151836399,0.8313657019609489,0.8309878777259899,0.8304588198656079,0.8305104091366927,0.8305606058538719,0.8298995532166419,0.8301213113064162,0.8293977743635459,0.8291731767499154,0.8304944585543287,0.8304750385614933,0.8295366402207044,0.8301225262463844,0.8290042734292159,0.829140883960487,0.8282885149244863,0.8291519999589088,0.8291519999589088
LSTM,0.0,0.8240718285295362,0.8260697513702805,0.82707962050438,0.8273121301419845,0.8289314766615952,0.8289724433873645,0.8292040794412572,0.8290242680809816,0.8295260846868159,0.8290046777323695,0.8285356096414979,0.8259764630808303,0.8258859304687706,0.8241415439081162,0.8215477885918351,0.8205559901272326,0.8176458743035911,0.8152508166422151,0.8121062827799168,0.810106640647511,0.8075577285159681,0.8083934389954966,0.8048222690920492,0.8030893175870669,0.8030893175870669
transformer,0.5,0.8243718194304808,0.8242224582726982,0.8253365970733544,0.826813949204754,0.8262020399991237,0.8280898375702788,0.8280533500913402,0.8282323307406286,0.8282553610293107,0.8287209301744215,0.8284050062758875,0.8290537729714146,0.8294286045091365,0.8283677400469646,0.8283326152437083,0.8278181334876684,0.827213541638704,0.8278193545998239,0.8267402916777621,0.8263074039050554,0.8266048594388934,0.8249420765162887,0.8250715981088799,0.8233716701814231,0.8233716701814231
transformer,1.0,0.8235525489787272,0.8255935758332661,0.826251481344865,0.82780125246519,0.8285756901730411,0.828928112076338,0.8296513885459419,0.830659162345608,0.8313702284087336,0.8307224184738742,0.8316659061804882,0.8311204686615845,0.8313428678214164,0.831975754000518,0.8318716718370454,0.8314003148010937,0.8305607762127435,0.8311350298905502,0.8315390039620658,0.8302546307920531,0.8298885642685679,0.8297029931048969,0.8284724891349897,0.8293130507436692,0.8293130507436692
transformer,2.0,0.8244991113554299,0.8257783562761981,0.8274377588376606,0.8285532196961959,0.8284089927365293,0.8299426321552975,0.8306086195287179,0.8313450396567433,0.8312738366397754,0.8303193441150152,0.8320087340262026,0.8316474971648772,0.8321708691724377,0.8334442698034163,0.8343722511348443,0.8334904876378415,0.8340281513519442,0.8341523822050741,0.8345390087461124,0.8338301042278077,0.834179938233082,0.8338270181382077,0.8341663061190455,0.8340170242806774,0.8340170242806774
transformer,4.0,0.8255372784760233,0.8265351685656959,0.8283720689922188,0.8293293664425254,0.8312179286029278,0.8316148221615508,0.8335113406423151,0.832924006655655,0.8340859562900935,0.8337399820405309,0.8347604348609232,0.8351060055667422,0.8356151742574535,0.8349928802637411,0.8350966632513969,0.8353275813954433,0.835714834313097,0.8355183763972646,0.8357452098871614,0.8358171852194669,0.8357314226721434,0.8358860886721169,0.8352958859645299,0.8355036585917465,0.8355036585917465
transformer,10.0,0.8257556106799538,0.8276775498371435,0.8291143131299434,0.8301394602657423,0.8323862881393518,0.8319476674386086,0.8325607620154197,0.8314515392016573,0.830739441465674,0.8329194702540418,0.8324822179621255,0.8332621400342604,0.8332564905119594,0.8317938445382047,0.8324632884430697,0.832658190829155,0.8328123704314109,0.8325698264166601,0.8332138021504297,0.8336436627389748,0.8330403130071063,0.8328072401479306,0.8323442407704509,0.833089619776405,0.833089619776405
transformer,0.0,0.8226884247423674,0.8228197298005729,0.8249742037463105,0.8255387738158652,0.8244744163109693,0.8260580258451421,0.8262817019019714,0.8274765686004468,0.8272963697996296,0.8268465187485725,0.8270615813083853,0.8269447785469901,0.8267442149835722,0.8258778194243089,0.8248527626849638,0.823949147498671,0.8239239300438154,0.8218293022344056,0.8225701271126044,0.8206887360367966,0.8189137970259314,0.8175242243631169,0.8154180782342595,0.8152850920509397,0.8152850920509397
