config_features,best_result
BERT_PCA_5,0.8100545151052044
BERT_PCA_10,0.8238043572036822
BERT_PCA_15,0.8276732556472562
BERT_PCA_20,0.8313503325460183
BERT_PCA_25,0.8306574441138869
BERT_PCA_30,0.8298084841151553
BERT_PCA_35,0.831257937216284
BERT_PCA_40,0.8321496695332863
BERT_PCA_45,0.831590586674861
BERT_PCA_50,0.8344181799267018
BERT_PCA_55,0.8306866362269744
BERT_PCA_60,0.8333622399906729
BERT_PCA_65,0.8331060150561642
BERT_PCA_70,0.8332841997478017
BERT_PCA_75,0.8333207128294046
BERT_PCA_80,0.8338375686887233
BERT_PCA_85,0.8320381766365691
BERT_PCA_90,0.8342634367698087
BERT_PCA_95,0.83311284244963
BERT_PCA_100,0.8333512041105938
BERT_PCA_105,0.8313268049485082
BERT_PCA_110,0.8333981057395953
BERT_PCA_115,0.833876732497027
BERT_PCA_120,0.8337626573721125
BERT_PCA_125,0.8317199506831886
BERT_PCA_130,0.8332567676471987
BERT_PCA_135,0.8326162930179951
BERT_PCA_140,0.832500692695333
BERT_PCA_145,0.833346264074473
BERT_PCA_150,0.8332077443697562
BERT_PCA_155,0.8315877718922757
BERT_PCA_160,0.8318409200590965
BERT_PCA_165,0.8328262729118657
BERT_PCA_170,0.8337780636889155
BERT_PCA_175,0.8314093432969797
BERT_PCA_180,0.833368558347507
BERT_PCA_185,0.8316120348645382
BERT_PCA_190,0.8330487834644936
BERT_PCA_195,0.8330014981784192
BERT_PCA_200,0.8331244396676118
BERT_PCA_205,0.8320575918993601
BERT_PCA_210,0.8311240424356189
BERT_PCA_215,0.8323895640484144
BERT_PCA_220,0.8323194531693422
BERT_PCA_225,0.830897927814081
BERT_PCA_230,0.8307661281340866
BERT_PCA_235,0.8313774285419573
BERT_PCA_240,0.8312795399972801
BERT_PCA_245,0.8322334565585283
BERT_PCA_250,0.8323390546346401
